Corruption Perceptions Index 2025: Global scores,,,,,,,,,,,,,,,,,,,,,,,,,
EMBARGOED UNTIL 10.02.2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI 2025 score,Rank,Standard error 2025,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations In Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,,,,
Nepal,NPL,AP,34,109,0.92,6,32,36,,,34,,,32,,,,33,39,31,33,,,,
Sierra Leone,SLE,SSA,34,109,2.01,8,31,37,38,,30,18,,46,,,35,41,39,,26,,,,
Ecuador,ECU,AME,33,116,1.87,7,30,36,,,43,34,,32,,,37,31,,20,30,,,,
Panama,PAN,AME,33,116,1.52,7,31,35,,,30,34,,32,,,33,43,,24,36,,,,
Serbia,SRB,ECA,33,116,2.01,7,30,36,,,34,34,48,32,,,33,24,,,28,,,,
Thailand,THA,AP,33,116,1.00,9,31,35,,,30,34,,32,26,45,33,30,,35,32,,,,
Angola,AGO,SSA,32,120,2.53,8,28,36,38,,34,18,,46,,,42,37,,14,29,,,,
El Salvador,SLV,AME,32,120,1.48,7,30,34,,,30,34,,32,,,42,29,,24,31,,,,
Philippines,PHL,AP,32,120,2.14,9,28,36,,,34,34,,32,18,44,37,17,,51,24,,,,
Togo,TGO,SSA,32,120,1.47,7,30,34,34,,26,,,32,,,33,23,39,,34,,,,
Belarus,BLR,ECA,31,124,3.49,7,25,37,,,26,18,18,32,,,24,46,,,51,,,,
Djibouti,DJI,SSA,31,124,1.95,5,28,34,28,,26,,,32,,,,29,39,,,,,,
Mongolia,MNG,AP,31,124,1.02,8,29,33,,,39,34,,32,26,,33,26,,28,32,,,,
Niger,NER,SSA,31,124,1.95,7,28,34,45,,26,,,32,,,24,36,27,,30,,,,
Turkey,TUR,ECA,31,124,2.04,8,28,34,,,21,34,,46,24,,33,19,,37,33,,,,
Uzbekistan,UZB,ECA,31,124,2.73,8,27,35,,,30,18,18,32,,,51,18,39,,38,,,,
Azerbaijan,AZE,ECA,30,130,6.55,7,19,41,,,26,18,14,32,,,24,14,,84,,,,,
Egypt,EGY,MENA,30,130,3.27,8,25,35,7,,26,34,,32,,,31,25,,58,27,,,,
Kenya,KEN,SSA,30,130,1.73,10,27,33,31,,30,18,,32,22,,42,38,51,18,22,,,,
Mauritania,MRT,SSA,30,130,2.36,6,26,34,28,,34,,,32,,,,17,39,,28,,,,
Peru,PER,AME,30,130,2.19,8,26,34,,,47,34,,32,14,,33,30,,22,31,,,,
Gabon,GAB,SSA,29,135,1.30,8,27,31,24,,34,34,,32,,,33,26,,19,25,,,,
Bolivia,BOL,AME,28,136,3.00,7,23,33,,,39,34,,32,,,33,30,,6,18,,,,
Iraq,IRQ,MENA,28,136,5.21,6,19,37,,,47,18,,6,,,33,18,,46,,,,,
Liberia,LBR,SSA,28,136,2.16,8,24,32,38,,26,,,19,,,42,15,27,34,21,,,,
Mali,MLI,SSA,28,136,2.15,8,24,32,45,,30,,,32,,,33,24,15,27,18,,,,
Pakistan,PAK,AP,28,136,1.73,8,25,31,,,21,18,,32,,,33,19,39,32,25,,,,
